Season,Category,Team_Short,Set-piece Index,Left Attack Index,Center Attack Index,Right Attack Index,Short Counter,Long Counter,Opponent Area Possession,My Area Possession
2020,J1,川崎Ｆ,61,63,59,57,61,41,73,48
2020,J1,Ｇ大阪,49,44,52,65,49,44,55,45
2020,J1,名古屋,52,59,37,45,47,42,46,48
2020,J1,Ｃ大阪,46,40,45,39,34,40,45,58
2020,J1,鹿島,72,48,62,69,65,62,55,40
2020,J1,FC東京,54,52,47,41,58,65,36,36
2020,J1,柏,41,44,61,41,55,67,40,42
2020,J1,広島,61,60,54,61,58,62,54,37
2020,J1,横浜FM,70,78,62,66,62,61,59,51
2020,J1,浦和,41,39,56,38,46,57,42,46
2020,J1,大分,43,50,28,52,34,40,47,72
2020,J1,札幌,49,36,68,44,64,59,49,52
2020,J1,鳥栖,37,44,46,44,39,42,54,61
2020,J1,神戸,48,54,53,41,44,39,67,65
2020,J1,横浜FC,36,47,43,41,37,39,52,64
2020,J1,清水,44,54,48,48,43,45,54,53
2020,J1,仙台,48,48,39,60,54,47,35,41
2020,J1,湘南,47,40,40,49,50,48,38,41
2020,J2,徳島,46,46,40,53,40,45,59,68
2020,J2,福岡,62,40,58,51,64,58,35,35
2020,J2,長崎,44,62,51,38,40,43,64,58
2020,J2,甲府,39,48,40,41,43,42,47,56
2020,J2,北九州,59,45,63,66,55,43,59,55
2020,J2,磐田,51,45,47,66,43,53,65,57
2020,J2,山形,68,79,59,39,54,58,51,46
2020,J2,京都,47,39,57,41,46,48,55,51
2020,J2,水戸,50,54,52,59,52,51,52,48
2020,J2,栃木,71,44,65,56,83,65,30,28
2020,J2,新潟,58,37,52,59,49,47,49,59
2020,J2,東京Ｖ,51,54,56,42,41,44,68,63
2020,J2,松本,53,50,50,42,56,44,42,41
2020,J2,千葉,43,49,40,35,38,47,42,40
2020,J2,大宮,37,49,49,48,49,43,48,54
2020,J2,琉球,43,52,62,31,41,38,67,57
2020,J2,岡山,60,55,53,60,53,46,47,48
2020,J2,金沢,48,52,60,59,62,80,44,38
2020,J2,町田,37,33,51,52,53,67,39,39
2020,J2,群馬,57,66,33,44,49,45,45,44
2020,J2,愛媛,32,42,34,59,40,39,48,61
2020,J2,山口,45,57,29,58,47,53,44,53
2021,J1,川崎Ｆ,52,70,61,53,63,46,72,49
2021,J1,横浜FM,64,77,55,82,58,56,70,54
2021,J1,神戸,42,54,48,41,45,35,59,66
2021,J1,鹿島,72,53,66,58,66,70,50,36
2021,J1,名古屋,52,55,38,44,47,44,43,50
2021,J1,浦和,43,48,52,39,44,44,56,63
2021,J1,鳥栖,44,51,51,48,44,40,56,63
2021,J1,福岡,48,41,53,47,58,53,31,34
2021,J1,FC東京,61,58,44,37,55,59,41,39
2021,J1,札幌,58,39,77,48,67,56,52,58
2021,J1,広島,52,56,49,60,58,55,55,43
2021,J1,Ｃ大阪,56,44,49,49,46,44,52,51
2021,J1,Ｇ大阪,40,42,49,49,43,52,54,47
2021,J1,清水,35,34,47,47,36,44,42,53
2021,J1,柏,56,42,54,58,56,72,43,40
2021,J1,湘南,62,52,48,54,60,54,39,39
2021,J1,徳島,36,48,47,35,41,35,56,68
2021,J1,大分,38,50,27,47,34,38,44,58
2021,J1,仙台,39,42,39,56,41,54,41,42
2021,J1,横浜FC,49,42,47,47,39,49,45,47
2021,J2,磐田,57,60,51,58,46,56,61,55
2021,J2,京都,66,63,77,51,66,51,55,44
2021,J2,甲府,50,54,47,49,46,48,58,53
2021,J2,長崎,46,47,50,43,42,52,57,52
2021,J2,町田,39,27,58,51,48,59,47,49
2021,J2,新潟,54,48,48,54,39,41,67,69
2021,J2,山形,66,67,58,68,56,58,60,56
2021,J2,千葉,48,52,45,47,45,42,51,44
2021,J2,琉球,44,49,56,39,44,33,62,57
2021,J2,水戸,52,49,68,53,57,55,53,48
2021,J2,岡山,54,55,49,49,52,49,44,47
2021,J2,東京Ｖ,35,55,52,44,40,41,62,68
2021,J2,秋田,73,39,29,82,75,71,28,27
2021,J2,栃木,62,47,50,61,75,52,28,29
2021,J2,山口,49,48,48,45,47,43,52,59
2021,J2,大宮,45,50,41,46,48,45,43,58
2021,J2,金沢,48,59,60,47,55,72,45,43
2021,J2,群馬,48,56,41,38,44,59,43,45
2021,J2,相模原,36,27,39,44,43,41,40,48
2021,J2,愛媛,44,58,41,44,44,50,46,46
2021,J2,北九州,35,36,50,42,42,34,51,57
2021,J2,松本,49,52,43,44,46,49,47,45
2022,J1,横浜FM,66,53,70,76,61,56,64,58
2022,J1,川崎Ｆ,45,64,61,44,51,38,80,53
2022,J1,広島,72,65,48,77,74,57,55,44
2022,J1,鹿島,50,50,58,51,54,64,50,36
2022,J1,Ｃ大阪,61,53,45,43,53,60,44,55
2022,J1,FC東京,50,49,51,43,43,31,47,57
2022,J1,柏,41,40,52,49,40,63,48,43
2022,J1,名古屋,51,50,32,49,41,55,42,46
2022,J1,浦和,49,47,57,42,42,47,53,67
2022,J1,札幌,43,28,61,47,48,54,52,58
2022,J1,鳥栖,48,65,43,55,52,65,61,62
2022,J1,湘南,62,57,56,43,64,52,39,36
2022,J1,神戸,57,62,47,43,44,33,54,61
2022,J1,福岡,49,53,38,51,58,51,40,30
2022,J1,Ｇ大阪,42,45,44,51,42,42,44,47
2022,J1,京都,47,41,58,47,59,42,38,40
2022,J1,清水,32,38,48,43,34,47,43,55
2022,J1,磐田,37,40,32,47,40,45,47,52
2022,J2,新潟,50,52,63,45,40,42,69,71
2022,J2,横浜FC,36,24,63,46,38,48,51,57
2022,J2,岡山,48,50,48,47,53,50,43,44
2022,J2,熊本,57,59,49,73,56,42,60,49
2022,J2,大分,56,64,45,53,40,39,57,66
2022,J2,山形,56,56,43,64,50,59,50,59
2022,J2,仙台,52,51,53,54,50,44,50,49
2022,J2,徳島,36,50,54,40,34,39,67,60
2022,J2,東京Ｖ,50,56,56,47,45,49,62,59
2022,J2,千葉,47,44,45,52,43,43,49,42
2022,J2,長崎,39,39,47,45,43,52,49,56
2022,J2,秋田,72,53,29,70,80,69,29,28
2022,J2,水戸,52,55,70,40,61,46,56,41
2022,J2,金沢,37,39,55,49,47,62,41,50
2022,J2,町田,46,46,61,48,53,56,45,49
2022,J2,山口,50,73,45,46,53,41,52,55
2022,J2,栃木,46,44,47,46,53,67,44,39
2022,J2,甲府,61,46,60,51,51,32,64,53
2022,J2,大宮,46,51,44,44,56,54,42,44
2022,J2,群馬,54,61,28,33,39,49,42,49
2022,J2,琉球,36,39,47,39,51,49,41,47
2022,J2,岩手,73,45,46,66,64,70,37,33
2023,J1,神戸,59,56,44,59,60,50,45,46
2023,J1,横浜FM,43,46,63,42,43,41,61,61
2023,J1,広島,82,71,63,66,76,65,50,40
2023,J1,浦和,46,37,47,52,41,45,53,60
2023,J1,鹿島,49,43,47,56,47,45,44,44
2023,J1,名古屋,50,41,40,44,48,63,41,45
2023,J1,福岡,42,51,45,58,54,48,45,36
2023,J1,川崎Ｆ,40,61,53,53,45,34,75,55
2023,J1,Ｃ大阪,50,57,41,51,44,44,50,57
2023,J1,新潟,39,51,54,37,33,36,66,73
2023,J1,FC東京,50,68,41,39,48,43,44,45
2023,J1,札幌,50,44,69,67,67,71,53,50
2023,J1,京都,56,35,51,62,53,46,37,38
2023,J1,鳥栖,44,54,34,40,47,54,49,66
2023,J1,湘南,61,56,44,56,58,65,37,38
2023,J1,Ｇ大阪,38,47,69,34,48,47,62,55
2023,J1,柏,50,43,54,39,50,53,43,45
2023,J1,横浜FC,51,38,42,46,40,51,46,46
2023,J2,町田,58,44,46,52,53,60,41,40
2023,J2,磐田,59,53,50,50,49,57,60,53
2023,J2,東京Ｖ,56,60,47,59,49,52,61,55
2023,J2,清水,50,41,67,58,47,53,70,52
2023,J2,山形,48,41,43,57,44,55,44,63
2023,J2,千葉,52,51,58,59,55,59,61,48
2023,J2,長崎,33,46,43,39,36,54,44,49
2023,J2,甲府,48,46,60,39,50,54,47,46
2023,J2,大分,61,75,39,45,43,32,52,65
2023,J2,岡山,55,59,44,50,50,49,46,46
2023,J2,群馬,41,60,27,33,33,39,47,58
2023,J2,藤枝,41,38,65,52,56,51,52,54
2023,J2,秋田,79,45,35,80,75,63,27,27
2023,J2,熊本,44,69,57,58,53,37,67,61
2023,J2,徳島,34,42,45,39,35,29,60,65
2023,J2,仙台,48,49,59,42,48,44,51,50
2023,J2,水戸,40,42,55,44,52,47,50,43
2023,J2,いわき,63,64,57,57,75,60,37,34
2023,J2,栃木,46,37,50,42,51,54,39,35
2023,J2,山口,46,43,42,54,46,36,51,59
2023,J2,大宮,47,47,48,46,48,45,50,52
2023,J2,金沢,52,47,63,44,53,68,42,45
2024,J1,神戸,69,66,47,55,63,54,43,44
2024,J1,広島,73,58,70,71,78,70,47,41
2024,J1,町田,59,65,37,52,52,70,39,38
2024,J1,Ｇ大阪,41,48,49,30,35,54,62,54
2024,J1,鹿島,43,47,44,50,45,47,47,46
2024,J1,東京Ｖ,45,45,46,39,45,42,44,50
2024,J1,FC東京,48,61,36,42,44,43,42,49
2024,J1,川崎Ｆ,51,59,59,54,48,50,72,56
2024,J1,横浜FM,53,52,52,66,44,42,61,64
2024,J1,Ｃ大阪,60,45,57,61,48,46,55,53
2024,J1,名古屋,42,37,45,51,45,38,43,44
2024,J1,福岡,41,45,44,40,53,58,43,36
2024,J1,浦和,48,43,48,50,42,44,59,70
2024,J1,京都,56,36,66,60,68,60,35,38
2024,J1,湘南,47,62,59,42,49,58,54,44
2024,J1,新潟,48,57,43,42,40,30,64,72
2024,J1,柏,60,54,59,45,56,56,49,44
2024,J1,磐田,42,31,35,59,42,40,33,45
2024,J1,札幌,36,39,64,54,56,51,56,56
2024,J1,鳥栖,36,50,39,40,47,45,50,58
2024,J2,清水,52,51,63,49,44,42,66,57
2024,J2,横浜FC,57,50,59,63,60,66,58,45
2024,J2,長崎,40,64,54,33,36,53,60,65
2024,J2,山形,48,36,40,62,42,48,53,65
2024,J2,岡山,72,50,53,62,61,52,41,38
2024,J2,仙台,44,32,57,56,47,46,60,49
2024,J2,千葉,51,61,52,47,53,62,55,48
2024,J2,徳島,35,42,44,35,41,40,55,66
2024,J2,いわき,52,56,52,59,70,67,41,39
2024,J2,秋田,69,58,41,68,73,71,27,26
2024,J2,山口,64,59,38,54,55,44,39,41
2024,J2,熊本,58,54,62,58,55,42,68,56
2024,J2,藤枝,38,55,52,48,44,47,55,61
2024,J2,甲府,46,32,52,41,41,59,51,52
2024,J2,水戸,42,64,42,44,47,42,46,49
2024,J2,大分,56,50,53,50,46,35,49,53
2024,J2,愛媛,40,40,59,34,51,54,35,42
2024,J2,栃木,39,36,62,50,51,48,46,41
2024,J2,鹿児島,52,53,42,47,46,45,48,54
2024,J2,群馬,47,58,22,39,35,37,47,53
2025,J1,鹿島,54,49,41,53,47,45,45,49
2025,J1,柏,48,52,59,58,48,42,71,71
2025,J1,京都,56,46,58,63,59,60,37,37
2025,J1,広島,79,51,64,76,72,62,54,42
2025,J1,神戸,73,69,64,60,71,56,40,42
2025,J1,町田,51,58,58,53,62,68,44,38
2025,J1,浦和,45,43,46,47,36,62,60,57
2025,J1,川崎Ｆ,44,56,58,38,49,47,63,50
2025,J1,Ｇ大阪,45,45,62,43,44,60,67,52
2025,J1,Ｃ大阪,50,47,59,58,49,48,60,58
2025,J1,FC東京,48,51,43,45,39,51,51,53
2025,J1,福岡,46,61,48,34,48,43,49,47
2025,J1,岡山,59,62,36,55,58,55,37,34
2025,J1,清水,49,65,60,42,47,34,56,49
2025,J1,横浜FM,39,34,35,50,38,40,46,52
2025,J1,名古屋,43,32,43,47,48,36,39,49
2025,J1,東京Ｖ,45,38,44,42,47,44,46,53
2025,J1,横浜FC,46,37,36,53,53,62,37,38
2025,J1,湘南,45,50,47,51,51,46,45,52
2025,J1,新潟,37,55,41,33,35,36,52,74
2025,J2,水戸,49,46,49,51,50,54,54,51
2025,J2,長崎,48,50,68,40,45,49,62,62
2025,J2,千葉,43,53,47,41,46,65,48,50
2025,J2,徳島,32,41,46,35,39,45,52,64
2025,J2,磐田,57,46,40,55,41,40,60,61
2025,J2,大宮,60,72,58,41,51,70,42,41
2025,J2,仙台,49,45,65,52,49,53,59,51
2025,J2,鳥栖,48,57,49,48,39,36,66,59
2025,J2,いわき,75,61,54,78,80,67,33,29
2025,J2,山形,49,39,49,53,45,49,55,55
2025,J2,今治,46,44,63,48,52,57,41,46
2025,J2,札幌,53,32,56,58,50,54,61,53
2025,J2,甲府,31,34,49,41,41,52,47,48
2025,J2,秋田,56,63,36,60,71,51,31,26
2025,J2,藤枝,58,53,58,59,55,50,45,55
2025,J2,大分,48,44,29,59,43,36,44,43
2025,J2,富山,50,58,38,40,42,41,49,60
2025,J2,熊本,56,59,51,57,50,32,65,54
2025,J2,山口,58,59,39,43,56,57,38,40
2025,J2,愛媛,35,45,55,42,53,41,47,51
