team,team_name,Unnamed: 0,Unnamed: 1,指数,ゴール率,シュート率,ドリブル 使用率,ロングパス 使用率,空中戦 使用率,コンビネーション 使用率,20km/h以上の走行 平均人数,20km/h以上の走行 一人当たりの平均距離,table_index,攻撃 セットプレー,左サイド攻撃,中央攻撃,右サイド攻撃,ショート カウンター,ロング カウンター,敵陣 ポゼッション,自陣 ポゼッション
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,67.0,1.1%,15.5%,10.9%,18.9%,10.2%,3.4%,1.6人,19.3m,0,,,,,,,,
shim,清水エスパルス清水,,清水エスパルス清水,63.0,2.0%,12.9%,12.9%,23.8%,8.2%,2.3%,1.9人,19.0m,0,,,,,,,,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,60.0,2.4%,20.2%,17.0%,17.8%,7.7%,2.8%,2.2人,19.8m,0,,,,,,,,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,60.0,2.4%,16.2%,14.2%,24.7%,10.9%,4.0%,2.0人,20.8m,0,,,,,,,,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,60.0,1.6%,15.9%,11.8%,20.7%,10.6%,2.8%,2.1人,21.2m,0,,,,,,,,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,56.0,1.3%,15.6%,19.8%,22.8%,11.0%,3.8%,2.0人,19.7m,0,,,,,,,,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,56.0,1.3%,15.2%,12.2%,16.5%,9.3%,3.8%,1.8人,19.2m,0,,,,,,,,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,56.0,2.6%,20.9%,15.3%,15.7%,5.5%,2.6%,1.4人,18.8m,0,,,,,,,,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,54.0,1.7%,19.5%,13.9%,20.3%,8.7%,1.7%,1.8人,19.1m,0,,,,,,,,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,52.0,1.3%,22.8%,12.9%,13.8%,6.7%,5.8%,1.9人,20.2m,0,,,,,,,,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,51.0,3.4%,18.6%,18.6%,23.6%,5.9%,3.0%,1.5人,20.3m,0,,,,,,,,
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,50.0,2.3%,17.4%,19.2%,20.5%,5.9%,3.7%,1.8人,19.3m,0,,,,,,,,
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,48.0,2.2%,18.1%,17.3%,22.6%,6.6%,3.5%,1.8人,19.3m,0,,,,,,,,
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,43.0,1.0%,19.5%,13.0%,18.5%,6.0%,3.5%,1.9人,19.7m,0,,,,,,,,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,41.0,2.1%,24.6%,16.9%,14.9%,7.2%,3.6%,2.3人,21.7m,0,,,,,,,,
kasw,柏レイソル柏,,柏レイソル柏,40.0,1.0%,22.9%,16.1%,10.9%,6.8%,3.6%,1.7人,18.5m,0,,,,,,,,
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,38.0,2.1%,19.3%,15.5%,13.4%,5.9%,4.8%,1.8人,18.9m,0,,,,,,,,
uraw,浦和レッズ浦和,,浦和レッズ浦和,37.0,3.2%,20.0%,17.8%,21.1%,8.1%,2.2%,2.1人,19.4m,0,,,,,,,,
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,35.0,2.2%,20.7%,21.2%,18.4%,7.8%,1.1%,1.8人,18.6m,0,,,,,,,,
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,32.0,2.4%,21.2%,15.9%,11.8%,7.1%,3.5%,2.0人,19.7m,0,,,,,,,,
kasm,鹿島,,鹿島,,,,,,,,,,1,54,36,53,49,32,36,52,67
FCtk,FC東京,,FC東京,,,,,,,,,,1,53,56,59,38,41,57,50,62
mcd,町田,,町田,,,,,,,,,,1,42,48,42,54,50,48,53,50
tk-v,東京Ｖ,,東京Ｖ,,,,,,,,,,1,43,46,53,45,60,29,35,52
uraw,浦和,,浦和,,,,,,,,,,1,51,33,39,65,37,49,57,49
ka-f,川崎Ｆ,,川崎Ｆ,,,,,,,,,,1,39,66,48,39,38,43,67,52
mito,水戸,,水戸,,,,,,,,,,1,37,35,52,49,56,43,51,64
kasw,柏,,柏,,,,,,,,,,1,46,44,59,75,40,42,72,67
y-fm,横浜FM,,横浜FM,,,,,,,,,,1,52,59,42,51,54,45,43,48
chib,千葉,,千葉,,,,,,,,,,1,39,51,34,41,35,50,40,60
kobe,神戸,,神戸,,,,,,,,,,1,59,60,54,53,56,48,53,44
nago,名古屋,,名古屋,,,,,,,,,,1,47,44,62,42,60,57,48,51
c-os,Ｃ大阪,,Ｃ大阪,,,,,,,,,,1,36,44,61,51,52,53,47,54
hiro,広島,,広島,,,,,,,,,,1,80,52,64,63,67,66,62,40
okay,岡山,,岡山,,,,,,,,,,1,50,69,32,48,56,77,34,34
g-os,Ｇ大阪,,Ｇ大阪,,,,,,,,,,1,50,42,59,50,51,55,63,43
shim,清水,,清水,,,,,,,,,,1,55,66,54,50,63,51,46,35
ngsk,長崎,,長崎,,,,,,,,,,1,51,48,41,40,43,51,44,48
fuku,福岡,,福岡,,,,,,,,,,1,51,54,35,35,48,43,45,38
kyot,京都,,京都,,,,,,,,,,1,65,49,59,64,60,55,38,40
kasm,鹿島,,鹿島,,,,,,,,,,2,27.8%,8.1%,32.5%,14.3%,21.2%,14.8%,17.2%,6.1%
FCtk,FC東京,,FC東京,,,,,,,,,,2,25.7%,13.1%,42.8%,15.4%,24.6%,24.4%,23.8%,9.6%
mcd,町田,,町田,,,,,,,,,,2,29.6%,11.6%,27.5%,11.2%,17.4%,12.5%,20.9%,7.0%
tk-v,東京Ｖ,,東京Ｖ,,,,,,,,,,2,19.7%,10.6%,31.3%,11.9%,20.2%,23.3%,18.8%,3.6%
uraw,浦和,,浦和,,,,,,,,,,2,30.1%,17.8%,40.6%,15.4%,20.0%,17.6%,27.0%,12.3%
ka-f,川崎Ｆ,,川崎Ｆ,,,,,,,,,,2,24.8%,12.8%,32.0%,12.8%,19.3%,25.0%,15.3%,9.5%
mito,水戸,,水戸,,,,,,,,,,2,23.0%,19.0%,33.5%,8.4%,20.9%,14.1%,24.7%,5.6%
kasw,柏,,柏,,,,,,,,,,2,20.1%,12.4%,37.6%,14.0%,22.9%,12.7%,20.6%,8.5%
y-fm,横浜FM,,横浜FM,,,,,,,,,,2,23.7%,13.6%,36.2%,9.9%,19.5%,14.7%,14.9%,5.2%
chib,千葉,,千葉,,,,,,,,,,2,27.2%,13.9%,35.8%,13.7%,20.7%,16.0%,20.7%,5.2%
kobe,神戸,,神戸,,,,,,,,,,2,30.3%,12.3%,27.6%,10.2%,15.2%,15.3%,18.0%,5.2%
nago,名古屋,,名古屋,,,,,,,,,,2,28.4%,19.2%,33.0%,12.6%,16.2%,21.2%,23.1%,7.5%
c-os,Ｃ大阪,,Ｃ大阪,,,,,,,,,,2,22.2%,12.3%,41.5%,13.1%,22.8%,15.2%,23.7%,4.2%
hiro,広島,,広島,,,,,,,,,,2,27.0%,16.3%,31.9%,17.5%,15.5%,16.2%,30.6%,7.7%
okay,岡山,,岡山,,,,,,,,,,2,24.2%,13.3%,29.7%,12.4%,15.6%,13.7%,20.0%,19.1%
g-os,Ｇ大阪,,Ｇ大阪,,,,,,,,,,2,22.8%,17.4%,33.3%,10.1%,18.6%,17.0%,24.2%,10.0%
shim,清水,,清水,,,,,,,,,,2,20.3%,9.8%,30.2%,6.3%,12.9%,7.8%,20.5%,3.9%
ngsk,長崎,,長崎,,,,,,,,,,2,22.2%,13.5%,35.8%,8.5%,19.5%,16.9%,20.3%,6.7%
fuku,福岡,,福岡,,,,,,,,,,2,26.5%,8.8%,34.8%,9.9%,18.1%,4.4%,22.7%,2.7%
kyot,京都,,京都,,,,,,,,,,2,21.1%,10.7%,37.6%,14.1%,15.9%,20.5%,26.4%,9.1%
